id,display_name,display_name_alternatives,orcid
A5105520517,Emily Rose Duden,Emily Duden Duden; E. R. Duden; Emily Rose Duden; E. Duden; E.R Duden; Emily Duden,https://orcid.org/0000-0002-9092-9344
A5045608934,Michael W. Marcellin,M. W. Marcellin; M. Marcellin; Michael Marcellin; Michael W. Marcellin,https://orcid.org/0000-0001-9606-134X
A5065211438,Jordan Pollack,J. B. Pollack; Jordan Pollack; J. Pollack; Jordan B. Pollack,https://orcid.org/0009-0008-0819-3819
A5071574342,John Lisman,J. E. Lisman; J. Lisman; John Lisman; John E. Lisman,https://orcid.org/0000-0003-2676-225X
A5105417387,S. Behrends,Steve Behrends; S. Behrends,
A5029107179,Robert Sekuler,R. W. Sekuler; R. Sekuler; Robert Sekuler; Robert William Sekuler; Robert W. Sekuler,https://orcid.org/0000-0002-2519-4943
A5002081198,Aldo Musacchio,A. Musacchio; Aldo Musacchio And Aurora Gómez Galvarriato; Aldo Musacchio,https://orcid.org/0000-0003-3400-9938
A5054983968,D. Clark,D.K. Clark; David K. Clark; D. Clark; David Kendall Clark,
A5068795367,Elina Ikonen,Elina Ikonen; E. Ikonen; Essi Ikonen; Eden Ikonen; E M Ikonen; Elina Maria Ikonen,https://orcid.org/0000-0001-8382-1135
A5043078069,J. F. C. Wardle,J. F. Wardle; J. Wardle; John Wardle; John F. C. Wardle; John F. Wardle; J. F. C. Wardle,https://orcid.org/0000-0002-8960-2942
A5023444438,Serge N. Timasheff,S. N Timasheff; S. N. Timasheff; Serge Timasheff; Serge N. Timasheff,
A5034525299,D. Dodsworth,D. Dodsworth; David Dodsworth; David Michael Dodsworth,https://orcid.org/0000-0002-6720-9883
A5013789390,George L. Kenyon,George Kenyon; G. Daniel Kenyon; G. L. Kenyon; George L. Kenyon,
A5083616699,Michael F. Hagan,M Hagan; M. F. Hagan; Michael Hagan; Michael Francis Hagan; Michael F. Hagan; Michael. F. Hagan,https://orcid.org/0000-0002-9211-2434
A5055450661,Susan T. Lovett,Sean P Lovett; Susan Lovett; P. S. Lovett; S. P. Lovett; S. Lovett; Lovett Ps; Paul S. Lovett; Susan T. Lovett; S. T. Lovett,https://orcid.org/0000-0003-2792-1857
A5082895486,Bulbul Chakraborty,Bulbul Chakraborty; B. Chakraborty; B. K. Chakraborty,https://orcid.org/0000-0002-3589-8207
A5107863061,G. Amundsen,G. Amundsen,
A5088368205,Rashid Khalidi,Rashid Ismail Khalidi; Rashid Khalidi; Rashid I. Khalidi,
A5109569248,Aimee Slater,Aimee Slater; A Slater; A. L. Slater,
A5079961070,Antony Polonsky,A. Polonsky; A. B. Polonsky; Antony. Polonsky,
A5105718673,P. A. Gorbounov,Petr Andreevich Gorbounov; P. A. Gorbounov; P.A Gorbounov; P. Gorbounov; Petr Gorbounov,https://orcid.org/0000-0001-9135-1516
A5077276358,John Lewis Gaddis,John Gaddis; J.L. Gaddis; John L. Gaddis; John Lewis Gaddis.,
A5030305482,Harry Zohn,Harry Zohn; H. Zohn,
A5110656317,S. Gozpinar,S. Gozpinar; Serdar Gozpinar,
A5055490211,Leonard Saxe,Saxe; L. Saxe; Leonard S. Saxe; Leonard Saxe; Len Saxe,https://orcid.org/0000-0003-3381-8637
A5003615875,Kenneth Kustin,Kenneth. Kustin; K. Kustin,
A5109056677,H. Wellenstein,H. F. Wellenstein; Hermann F. Wellenstein; Hermann Wellenstein; H. Wellenstein; Hermann Fridenant Wellenstein,
A5012964442,James R. Lackner,James Lackner; J. Lackner; James R. Lackner; J. R. Lackner,https://orcid.org/0000-0002-5383-0302
A5105675045,A. Venturini,Alessio Venturini; A. Venturini,
A5023102369,Judith Herzfeld,Judith. Herzfeld; J. Herzfeld,https://orcid.org/0000-0001-8664-3995
A5025719333,Jacques Gutwirth,Jacques Gutwirth; J. Gutwirth,
A5109034021,John F. Kain,J Kain; JOHN F. ΚΑΙΝ; John Forrest Kain; John Kain; J. F. Kain; John F. Kain,
A5106858548,E. A. Fitzgerald,Eric Andrew Fitzgerald; E. A. Fitzgerald; Eric Fitzgerald; Eric Andrew Vitus Fitzgerald,
A5011399310,Traci C. Green,Traci C. Green; Traci Green; Traci Craig Green,https://orcid.org/0000-0001-9105-6904
A5052731325,K. O’Connor,K. O'Connor; K. O’Connor; Kelsey O'Connor; Kelsey Shea O'Connor,https://orcid.org/0000-0002-4036-5317
A5067552086,Joel Cutcher‐Gershenfeld,Joel Ethan Cutcher‐Gershenfeld; Joel. Cutcher‐Gershenfeld; Joel E. Cutcher‐Gershenfeld; J. Cutcher‐Gershenfeld,https://orcid.org/0000-0001-7659-7024
A5062965638,John L. Black,J.L Black; John L. C. Black; J. Black; John Black; J. L. Black; John Logan Black; John L. Black,https://orcid.org/0000-0001-6726-7293
A5064408362,Arthur Wingfield,Wingfield Arthur; A. Wingfield; Arthur Wingfield,https://orcid.org/0000-0003-3887-3483
A5013114433,Kurt H. Wolff,Kurt H. Wolff; Kurt Wolff; K. H. Wolff; K Wolff; K.‐H. Wolff,
A5026444055,Ricardo Godoy,Ricardo Godoy; R. A. Godoy; R. Godoy; Ricardo Alfonso Godoy; Ricardo A. Godoy,https://orcid.org/0000-0003-0121-6949
A5022221004,Ernest Grunwald,Ernest. Grunwald; E. Grunwald,
A5087486799,Brian Swingle,B G Swingle; Brian G. Swingle; Brian Gordon Swingle; Brian Swingle; B. Swingle,https://orcid.org/0000-0003-0334-3108
A5107876416,M. Goblirsch-Kolb,Maximilian Emanuel Goblirsch‐Kolb; M. Goblirsch‐Kolb; Maximilian Goblirsch‐Kolb,
A5049913352,Raymond A. Knight,R. A. Knight; Raymond Knight; R. Knight; Raymond A. Knight,https://orcid.org/0000-0002-9521-1921
A5056710304,Manning Marable,M. M. Marable; Manning Marable,
A5026919394,Qing Xie,Q. Xie; Qing Mei Xie; Qing Xie; Qingjian Xie; Qi‐Zhong Xie; Qihao Xie,https://orcid.org/0000-0003-2889-5670
A5013170242,Seth Fraden,Seth Fraden; S. Fraden,https://orcid.org/0000-0002-2420-9939
A5064337354,Stephen McBride,Stephen Mcbride; Stephen K. McBride; S. McBride,https://orcid.org/0009-0008-5222-0474
A5083404534,Lizbeth Hedstrom,L. Hedstrom; L.K. Hedstrom; Lizbeth Hedstrom,https://orcid.org/0000-0001-8432-3322
A5029016892,Jané Kondev,J. Kondev; Jane Kondev; Jane' Kondev; Jané Kondev; Kondev Jane,https://orcid.org/0000-0001-7522-7144
A5089000128,Myron Rosenblum,Myron. Rosenblum; M. Rosenblum,
A5101799954,K O'Malley,Katherine E O'Malley; K. O'Malley; K. O’Malley; Kevin OʼMalley; K. E. O’Malley; K. O′Malley; Kevin O’Malley; Kevin O'Malley,https://orcid.org/0000-0002-4868-8137
A5107868060,G. Sciolla,G. Sciolla,
A5105519987,D. T. Zenger,D.T Zenger; Douglas Todd Zenger; D. T. Zenger; Douglas Todd Zenger Jr; Todd Zenger,https://orcid.org/0000-0002-4867-3138
A5051802716,Naresh Kumar,N. Ravi Kumar; Nithish Kumar; Naresh Kumar; N. Kumar; Nina Sankriti Kumar,https://orcid.org/0000-0001-6200-9172
A5107854497,N. Miladinovic,N. Miladinovic,
A5037961010,Victor H. Matthews,V. H. Matthews; Victor Matthews; V. Matthews; Victor Harold Matthews; Victor H. Matthews,
