id,display_name,display_name_alternatives,orcid
A5107146171,Fabrizio Scuri,Fabrizio Scuri,
A5000652021,Dian Fox,Dian Fox; D. R. Fox,https://orcid.org/0000-0002-7553-7780
A5027464544,Mitch Cherniack,M. Cherniack; Mitch Cherniack; M CHERNIACK,https://orcid.org/0000-0001-7461-891X
A5066132631,Joe Caldwell,J. Caldwell; Joseph G. Caldwell; Joe Caldwell.; Joseph Caldwell,https://orcid.org/0000-0002-2824-5793
A5076673476,Orit Kent,O. KENT; O.B. Kent; Orit Kent,
A5085801625,Egon Bittner,Egon Bittner; E. Bittner,
A5086144688,Carolyn Abbott,Carolyn R. Abbott; Carolyn Abbott; C. Abbott,https://orcid.org/0000-0001-5899-2661
A5087450930,R. Poster,Richard Poster; R. A. Poster; R. Poster,
A5006997571,Linda Bui,L Bui; Linda Bui; Linda T. Bui; Linda T. M. Bui; Linda T. M Bui; Linda Tm Bui; Le Khanh Linh Bui,https://orcid.org/0000-0001-8407-4485
A5010775016,Fern Chertok,Fern Chertok,
A5018219340,Lauren D. Smith,Lauren D. Smith; Lauren Smith; L. Smith,https://orcid.org/0000-0001-6871-7436
A5053069378,Vinay V. Eapen,Vinay Verghese Eapen; Vinay Eapen; Vinay V. Eapen,https://orcid.org/0000-0002-8023-387X
A5073672658,Maura Jane Farrelly,Maura Jane Farrelly; Maura Farrelly; M. J. Farrelly; M. Farrelly,
A5090833313,Eugene C. Black,Eugene C. Black; Eugene Black; Eugene Charlton Black,
A5001457596,Maxine Davis,Mark L Davis; MELISSA DAVIS; M Davis; Maxine Davis.,https://orcid.org/0000-0003-1653-4464
A5007741601,Rebecca L. Gieseking,Rebecca L. Gieseking; Rebecca L. M. Gieseking; Rebecca Lynn Gieseking; Rebecca Gieseking; R.L. Gieseking,https://orcid.org/0000-0002-7343-1253
A5009748826,Richard Gaskins,R Gaskins; Richard Gaskins; Richard H. Gaskins,
A5013964618,Peniel E. Joseph,P. D. Joseph; Peniel E. Joseph; P. Joseph; Peniel Joseph,
A5016998129,Rosanna Lauriola,Rosanna Lauriola,
A5027825902,Gordon Fellman,G. A. Fellman; G. Fellman; Gordon A. Fellman; Gordon Fellman,
A5055752469,Steven L. Burg,Steven L. Burg,
A5087234158,Matthew Fraleigh,Matthew Patrick Fraleigh; Matthew Fraleigh; 馬修凡; マシュー・フレーリ,https://orcid.org/0000-0001-5760-5340
A5091891160,Neil E. Simister,Neil Simister; Neil E. Simister; N Simister; N. E. Simister,
A5112141456,Daniel M. Reeves,Daniel M. Reeves,
A5002065643,Jian-You Lin,Jian‐You Lin; J Y Lin,https://orcid.org/0000-0001-7445-2278
A5007802793,William Flesch,William Flesch; William Benjamin Flesch; W. Flesch,
A5012173296,Harold Levine,H. I. Levine; Harold Levine; Harold I. Levine,
A5013637723,S. Kutter,S. Kutter; Steffen Kutter,https://orcid.org/0000-0002-0349-8161
A5022541228,Yara A. Halasa,Yara A. Halasa; Yara Halasa; Y. Halasa; Y. A. Halasa,
A5051032697,Morris Soodak,M. Soodak; Morris. Soodak,
A5054038792,Palle Yourgrau,Palle Yourgrau,
A5068610548,Katharine C. Abruzzi,Katharine C. Abruzzi; Katharine Abruzzi; K. Abruzzi; Katherine C. Abruzzi; Katharine Compton Abruzzi,https://orcid.org/0000-0003-3949-3095
A5073429511,Shahar Hecht,S Hecht; Shahar Hecht,https://orcid.org/0000-0001-6722-1500
A5075668451,John Bladon,John H. Bladon; John Hodgetts Bladon; J. Bladon; J. H. Bladon; John Bladon,https://orcid.org/0000-0001-8993-9898
A5091489544,Virginia Page Fortna,Virginia Page Fortna; V. Page Fortna; Virginia Fortna; Virginia Page Huang Fortna; Virginia Page Fortna,https://orcid.org/0000-0002-6227-8679
A5101406999,Jihyun Choi,Jihyun Choi; Ji‐Hyun Choi,
A5107932857,D. T. Zenger,D.T Zenger; D. T. Zenger,
A5108466232,Michael B. Partenskii,M. B. Partenskii; M.B. Partenskiǐ; M B Partenskiĭ; Michael Partenskii; Michael B. Partenskii,
A5109845058,F. Wicek,F. Wicek,
A5110634740,Elizabeth Blackwell,Elizabeth M. Blackwell; Elizabeth Blackwell; E. Blackwell; E. M. Blackwell,
A5113449758,Nahum M. Sarna,Nahum Sarna; Nahum M. Sarna,
A5001643574,Si-Wei Qiu,Siwei Qiu; S. W. Qiu; Si‐Wei Qiu; S. Qiu; S.‐W. Qiu,https://orcid.org/0000-0003-1826-7953
A5009074913,Mary Gray,Mary T. Gray; Mary Gray; Mary Tod Gray; M T Gray; M. Gray,https://orcid.org/0000-0001-5841-4095
A5014158483,Debarshi K. Nandy,Debarshi Nandy; Debarshi K. Nandy,https://orcid.org/0000-0002-9435-0129
A5023755250,Darlene L. Brooks Hedstrom,Darlene L. Brooks Hedstrom; Darlene Brooks‐Hedstrom,https://orcid.org/0000-0003-3080-8556
A5053552110,Gregory Bentsen,Gregory S. Bentsen; Gregory Bentsen; G.S. Bentsen,https://orcid.org/0000-0001-8576-2298
A5070853384,Benjamin Gomes-Casseres,B. Gomes‐Casseres; Benjamin Gomes‐Casseres; Benjamin Gomes‐Cassares,https://orcid.org/0000-0002-3954-3999
A5079942570,Caitlin Gillespie,Caitlin C. Gillespie; Caitlin Gillespie,https://orcid.org/0000-0002-3833-7675
A5085580272,Michelle Shain,Michelle Shain; M Shain,https://orcid.org/0000-0002-8122-1010
A5107875777,C. Blocker,C. Blocker,
A5107944042,Dominique Anderson Trischuk,Dominique Anderson Trischuk; D. A. Trischuk,
A5108017787,Laurent Blanchoin,L. Blanchoin; Laurent Blanchoin; Kristin Ho; Kristin Little,https://orcid.org/0000-0002-2063-7127
A5108113584,C. Amelung,C. Amelung,
A5047778715,J. PrakashaReddy,Jayarama PrakashaReddy; J. PrakashaReddy,
A5079573341,D.M. Salunke,D. M. Salunke,
A5100381549,Xinyi Zhang,Xinyi Zhang; Xin‐yi Zhang; Zhang Xinyi,https://orcid.org/0000-0002-5064-9313
A5017063337,Kathryn M. Gramigna,Kathryn M. Gramigna; Kathryn Gramigna,
A5030376164,Jane L. Kanarek,Jane L. Kanarek; Jane Kanarek,
A5045671483,Gowri Vijayakumar,Gowri Vijayakumar; G. Vijayakumar,https://orcid.org/0000-0002-2532-8083
A5057980740,Jennifer L. Crawford,J. Crawford; Jennifer L. Crawford; Jennifer Crawford,https://orcid.org/0000-0001-6392-361X
A5103391187,Beth A. Mohr,B.A. Mohr; Beth Mohr; Beth A. Mohr; B. Mohr,
A5107847076,C. Amelung,C. Amelung,
A5110355264,Marion Smiley,Marion Smiley,
A5021673655,Morris David Morris,Morris David Morris,
A5027875402,Tatjana Meschede,Tatjana. Meschede,https://orcid.org/0000-0001-8019-7701
A5031726619,Matthew Boxer,M Boxer; Matthew Boxer; M.E. BOXER; Boxer,https://orcid.org/0000-0002-1608-833X
A5041192468,Michael Wollowski,Michael Wollowski; M. Wollowski,https://orcid.org/0000-0001-6596-8635
A5048725801,Roman Katsman,Roman Katsman; R. V. Katsman; Роман Кацман; רומן כצמן,https://orcid.org/0000-0003-0607-8047
A5064063286,Michael Ragussis,Michael Ragussis,
A5068241154,Chi P. Ting,Chi Ting; Chi Pan Ting; C.P. Ting; Chi P. Ting,https://orcid.org/0000-0003-1386-1902
A5069809439,E. Lipworth,E. Lipworth; Edgar. Lipworth,
A5071029655,F. G. Marcham,Frederick George Marcham; Frederick Marcham; F. G. Marcham; F. Marcham; Frederick G. Marcham,
A5083197941,David S. Savage,David Savage; D. S. Savage; David S. Savage,
A5100457272,Yunpeng Zhang,Zhang Yunpeng; Yunpeng Zhang; Yun‐Peng Zhang,https://orcid.org/0000-0001-6014-0193
A5004220941,Sabrina S. Rapisarda,Sabrina S. Rapisarda; Sabrina Rapisarda,https://orcid.org/0000-0001-5148-8630
A5009088962,Robert E. Mechanic,Robert E. Mechanic; Robert Mechanic; R. Mechanic,https://orcid.org/0009-0003-5112-0870
A5011128161,Michael J. Vela,Michael J. Vela; M.J. Vela,
A5016289284,Inga Mahler,Inga R. Mahler; I. Mahler; Inga Mahler; I. R. Mahler,
A5019505544,Yerbol Z. Kurmangaliyev,Y. Z. Kurmangaliyev; Yerbol Z. Kurmangaliyev,https://orcid.org/0000-0003-4829-2025
A5027826957,Sudipto Muhuri,S. Muhuri; Sudipto Muhuri; S. K. Muhuri,https://orcid.org/0000-0001-6352-6489
A5029809061,James Y‐K. Cho,James Y.‐K. Cho; James Y. K. Cho; J. Y. K. Cho; James Y.‐K Cho; J. Y‐K. Cho; James Y‐K. Cho; James Y-K. Cho,https://orcid.org/0000-0002-4525-5651
A5041973378,M.R. Haneline,M.R. Haneline; Mason Reames Haneline; Mason R. Haneline,
A5042994004,Francesco Pontiggia,F. Pontiggia; Francesco Pontiggia,https://orcid.org/0000-0003-2569-6238
A5043666383,James Mandrell,J. Mandrell; James Mandrell,https://orcid.org/0000-0001-5094-3814
A5043871347,Joan L. Press,J. L Press; J Press; J. L. Press; Joan L. Press,
A5050343081,M. Angeles Juanes,M. Angeles Juanes Ortiz; M. Angeles Juanes; Maria Angeles Juanes; María Angeles Juanes; Maria Angeles Juanes Ortiz,https://orcid.org/0000-0002-9801-9652
A5057245825,Mel Silberman,Mel Silberman,
A5088987150,Vera Lampert,Vera Lampert,
A5103559909,E. A. Fitzgerald,E. A. Fitzgerald,
A5107945992,J. R. Bensinger,J. R. Bensinger,
A5111365649,David Chalmers,David Chalmers; David J. Chalmers; D Chalmers,
A5001043089,John Lisman,J. Lisman; John Lisman,
A5002645623,Javier Urcid,Javier Urcid; Javier Urcid Serrano,https://orcid.org/0000-0003-0960-9309
A5011072712,Mari Fitzduff,Mari Fitzduff; M Fitzduff,
A5016068950,Heather Watkins,H. R. W. Watkins; Hardin Watkins; Heather Watkins; H. Watkins; H. R. Watkins; Harriet E. Watkins,
A5018178621,Michael Strand,Michael Strand; M. Strand; Michael J. Strand; M. J. Strand,https://orcid.org/0000-0002-6820-5358
A5018348387,Henry Linschitz,H. Linschitz; Henry. Linschitz,
A5047524475,Ekaterina Morozova,Ekaterina Morozova; Е. О. Морозова; E. Morozova; E. O. Morozova; Ekaterina O. Morozova,https://orcid.org/0000-0001-9131-7756
A5062437337,Guillaume Duclos,Guillaume Duclos; G. Duclos,https://orcid.org/0000-0001-9010-8952
A5063403112,David B. Zilberman,Давид Беньяминович Зильберман; D. B. Zilberman; David Zilberman; David Zil'berman; D. B. Zil'berman; David B. Zilberman,
A5084658737,Thomas E. Videbæk,Thomas E. Videbaek; Thomas E. Videbæk; Thomas Videbæk; Thomas Videbaek,https://orcid.org/0000-0001-9158-2824
A5103864982,Patricia A. Johnston,Patricia Johnston; Patricia A. Johnston,
A5105839924,G. Amundsen,Glenn Amundsen; G. Amundsen,
A5111112545,C. Wolfe,Connor Wolfe; C.E. WOLFE; C. Wolfe,
A5003415173,Kenneth Lai,K Lai; Kenneth Lai; Kenneth H. Lai,https://orcid.org/0000-0003-2870-7019
A5015279513,Neal Sugawara,Neal Sugawara; N. Sugawara,https://orcid.org/0009-0009-0495-9618
A5043295044,N. Miladinovic,N. Miladinovic,
A5050251978,Amanda Myers,Amanda Myers; Amanda L. Myers; Amanda Lee Myers,https://orcid.org/0000-0001-8760-0938
A5054888580,Edward Engelberg,Edward Engelberg,
A5064789693,Lee Panas,Lee Panas,https://orcid.org/0009-0008-4959-9567
A5091230118,Karl‐Friedrich Wetzel,Karl F. Wetzel; K. F. Wetzel; Karl‐ Friedrich Wetzel; K.‐F Wetzel; K.‐F. Wetzel; Karl‐Friedrich Wetzel; Kathryn Wetzel,https://orcid.org/0000-0001-8914-3654
A5105285911,S. Aefsky,S. Aefsky,
A5106542353,K. Zengel,K. Zengel,
A5107889236,D. Dodsworth,D. Dodsworth,
A5003142213,Roxana F. Schlam,Roxana Schlam; Roxana F. Schlam; R. F. Schlam,https://orcid.org/0000-0003-3322-1750
A5019419534,Reuven Kimelman,Reuven Kimelman; R. Kimelman,https://orcid.org/0000-0001-5419-9818
A5025067512,Milton Argeriou,M Argeriou; Milton Argeriou,
A5064615907,Fernando J. Rosenberg,Fernando J. Rosenberg; Fernando Rosenberg; F. Rosenberg; Fernando José Rosenberg,https://orcid.org/0000-0001-5429-4209
A5065964559,Gitay Kryger,G. Kryger; Gitay Kryger,
A5066817159,Jasmine Boshyan,J. Boshyan; Boshyan Jasmine; Jasmine Boshyan,
A5070398479,Charles C. Chester,Charles Chester; C. C. Chester; Charles C. Chester,https://orcid.org/0000-0003-4866-7069
A5070834813,Jill S. Greenlee,Jill Greenlee; Jill S. Greenlee,https://orcid.org/0000-0002-5185-7931
A5108034921,J. R. Bensinger,James Bensinger; J. R. Bensinger,https://orcid.org/0000-0002-6117-4536
A5017169412,John Mallon,John Mallon; J. Mallon; J.P. MALLON; John P. Mallon,https://orcid.org/0000-0002-3912-206X
A5030591965,E W Fine,E. W. Fine; Eric Fine; E Fine; Eric W. Fine,
A5040172213,Elizabeth Farrell Clifford,Elizabeth Clifford; Elizabeth Farrell Clifford; E Clifford,
A5060337027,Botond Tyukodi,B. Tyukodi; Botond Tyukodi,https://orcid.org/0000-0001-6868-1234
A5073508323,Reazur Rahman,Reazur Rahman; Rahman Reazur; R. F. Rahman,https://orcid.org/0000-0001-6093-097X
A5090261047,Timothy O. Street,Timothy O. Street; Timothy Oliver Street; Timothy Street,https://orcid.org/0000-0003-2138-3605
A5102892730,Fernando Caballero,Fernando Caballero; F. Caballero,https://orcid.org/0000-0003-0807-2087
A5006185795,H. P. Bowditch,Henry P. Bowditch; Henry Bowditch; Henry Pickering Bowditch; H. P. Bowditch,
A5030306375,Casey Ydenberg,Casey A. Ydenberg; Casey Ydenberg,https://orcid.org/0000-0003-4628-6721
A5041732119,Sarah Mayorga,Sarah Mayorga–Gallo; Sarah Mayorga; Sarah Mayorga‐Gallo; Sarah Mayorga Gallo,https://orcid.org/0000-0001-6654-5562
A5087523112,Zhang Da-kang,Dakang Zhang; Zhang Da‐kang,
A5107513549,Michael Patrick Cardiff,M. P. Cardiff; Michael Patrick Cardiff,https://orcid.org/0000-0002-4519-7201
A5107834158,Thomas Doherty,Thomas Doherty; Thomas Patrick Doherty; T. Doherty,
A5107876194,G. Amundsen,G. Amundsen,
A5113497259,J.R. Bensinger,J. R. Bensinger,
A5001062393,Tanja Su,Tanja Su; The Nandar Su; Su Tanja; Tracy Su; T. Su,https://orcid.org/0000-0001-7982-0391
A5015039999,Isabell Eva Baumann,Isabell Baumann; Isabell Eva Baumann,https://orcid.org/0000-0002-0562-9727
A5028522370,Marina J. Gorbunoff,M.J. Gorbunoff; Marina J. Gorbunoff,
A5029894902,Erica Harth,Erica Harth; E. Harth,
A5040122426,Niels Bradshaw,N. Bradshaw; Niels Raab Bradshaw; Niels Bradshaw; Niels R. Bradshaw,https://orcid.org/0000-0002-6845-4717
A5048246576,Helen Codere,Helen Codere,
A5052230720,Charles I. Schottland,Charles I. Schottland,
A5062996097,Marshall Sklare,Sklare Marshall; Marshall Sklare,
A5068311226,Gleb Nenashev,Gleb Nenashev; G. Nenashev; G. V. Nenashev,https://orcid.org/0000-0002-5850-3466
A5071804115,Egon Mayer,E. Mayer; Egon Mayer,
A5080879284,Sabine von Mering,S. von Mering; Sabine Von Mering,https://orcid.org/0000-0001-6976-4074
A5091210134,Robert N. Zeitlin,Robert N. Zeitlin; R. Zeitlin; Robert Zeitlin; Robert Norman Zeitlin,
A5112511892,L. J. Bergsten,L. J. Bergsten,
A5004948152,M. Yokoyama,M. Yokoyama; Mark Yokoyama,
A5007834707,Jonathan Jaquette,Jonathan Caleb Jaquette; Jonathan Jaquette,https://orcid.org/0000-0001-8380-3148
A5019642857,Nikolai Otmakhov,Nikolai Otmakhov; N. A. Otmakhov; N. Otmakhov,
A5019868307,Paul Jankowski,Paul Jankowski; Paul F. Jankowski; P Jankowski; Piotr Jankowski,https://orcid.org/0000-0002-6465-4359
A5020895956,Rudolf Kayser,Rudolf Kayser,
A5039137568,E. Katsoufis,E. Katsoufis,
A5051686605,William Duffy,W. E. Duffy; William E. Duffy; William Duffy; W. Duffy,
A5055730329,S. Goodman,S. R. Goodman; S. Goodman; Stanley Goodman,
A5058726384,Timothy D. Wiggin,Timothy Wiggin; Tim D. Wiggin; Timothy David Wiggin; Tim Wiggin; Timothy D. Wiggin,https://orcid.org/0000-0003-4432-1626
A5087436159,Leandro M. Alonso,Leandro Alonso; L. M. Alonso; Leandro M. Alonso; Leandro Martín Alonso,https://orcid.org/0000-0001-8211-2855
A5100686269,Yue Han,Yue Han; Han Yue,https://orcid.org/0000-0003-4146-0436
A5101021062,Sun Liwei,Sun Liwei; Sun Li‐wei; Liwei Sun,
A5102915078,Agustin J. Ros,Agustin Ros; Agustin J. Ros; Agustin Jose Ros; A. Ros,https://orcid.org/0000-0002-8003-1143
A5106858837,Zachary Michael Schillaci,Z. M. Schillaci; Zachary Michael Schillaci,
A5109252266,Walter C. Phillips,Walter C. Phillips,
A5023665395,Dwight W. Young,Dwight W. Young; D. W. Young; Dwight Young; D Young; Dwight Wayne Young,
A5028581101,T. Hagiwara,T. Hagiwara; Teruhiko Hagiwara,
A5032361095,Teresa V. Mitchell,T. Mitchell; Teresa V. Mitchell; Teresa Mitchell,https://orcid.org/0009-0000-8249-083X
A5045115374,Evangelos Simoudis,E. Simoudis; E SIMOUDIS; Evangelos Simoudis,https://orcid.org/0000-0002-0594-9384
A5075716783,Stephen J. DeCamp,S. DeCamp; Stephen J. DeCamp; Stephen Decamp; Stephen J DeCamp,https://orcid.org/0000-0001-7002-7370
A5086444106,Qianyi Yang,Qianyi Yang; Qian‐Yi Yang; Q. Yang; Q Q Yang,https://orcid.org/0000-0002-3353-1751
A5087497969,Roberta L. Salper,Roberta L. Salper; Roberta Salper,
A5101446290,Dorothy Kim,Dorothy Kim,https://orcid.org/0000-0002-6751-6517
A5113435754,Michael Randall,M Randall; Michael Randall; M. Hertig Randall,
A5113996126,Margaret M. Ciotti,Margaret Ciotti; Margaret M. Ciotti,
A5015699157,Gunnar Dybwad,Gunnar Dybwad; G Dybwad,
A5025998710,Norman R. Kurtz,N R Kurtz; N Kurtz; Norman R. Kurtz; Norman Kurtz,
A5042814459,Rachel Dickler,Rachel Dickler‐Mann; Rachel Dickler,https://orcid.org/0000-0002-9018-4848
A5046214874,Alexandra Martin,A. Martin; Alexandra Martin; Alexandra R. Martin; Alexandra Regina Martin,https://orcid.org/0000-0001-9764-9487
A5055601717,Arvind Baskaran,Arvind Baskaran; Arvind Ram Baskaran,
A5058178055,Albert Kelner,A. Kelner; Albert Kelner,
A5064484932,Joerg E. Braun,J. E. Braun; J. E. A. Braun; J. Braun; Joerg E. Braun,https://orcid.org/0000-0002-8309-6401
A5074301925,Daniel Neep,Daniel Neep,https://orcid.org/0000-0003-0247-0076
A5077480329,Zachary Albert,Zachary Albert; Z ALBERT,https://orcid.org/0000-0003-3887-5227
A5082753007,Carl Sharif El-Tobgui,Carl Sharif El‐Tobgui,
A5085199403,Andrea Linton,A. Linton; Andrea Linton,https://orcid.org/0000-0002-6682-8009
A5107880075,D. Dodsworth,D. Dodsworth,
A5107941280,C. Blocker,C. Blocker,
A5108798672,Michael J Larson,M. J. Larson; Michael Larson; M Larson; Michael J. Larson,
A5008254700,Jonathan Unglaub,Jonathan Unglaub; Jonathan W. Unglaub,
A5013156515,Yara A. Halasa‐Rappel,Yara Halasa‐Rappel; Yara A. Halasa‐Rappel; Yara A. Halasa,https://orcid.org/0000-0001-6564-1608
A5020046284,David P. Waterman,David P. Waterman; D. Waterman; David Waterman,
A5021376635,Fred Sommers,Fred Sommers; F. T. Sommers; F SOMMERS,
A5037705543,Elizabeth Mahon,E. A. Mahon; Elizabeth Mahon; E. Mahon; Elizabeth A. Mahon,https://orcid.org/0000-0003-0854-1453
A5044560179,Владимир Хазан,Владимир Хазан; Vladimir Khazan; Vladimir I. Khazan,https://orcid.org/0000-0002-7937-5790
A5071966352,Ramasamy P. Kumar,R.P. Kumar; Ramasamy Prem Kumar; R. Kumar; R. Prem Kumar; Ramasamy P. Kumar,https://orcid.org/0000-0002-6555-8289
A5081164127,Martin A. Levin,Martin A. Levin; Martin Levin,
A5084264065,Daichi Hayakawa,Daichi Hayakawa; Hayakawa Daichi; D. Hayakawa,https://orcid.org/0000-0002-2783-5943
A5090141303,Diane Labbé,D. Labbé; Dylan L Labbe; Diane Labbé; D. Labbe; D. L'Abbé,
A5102392055,Shiyong Guo,Shi‐Yong Guo; Shiyong Guo,
A5107900018,J. R. Bensinger,J. R. Bensinger,
A5001510936,David B. Starr,David Starr; David B. Starr,
A5005323445,Weiyi Tan,Weiyi Tan,https://orcid.org/0000-0001-5316-8278
A5018135431,Sining Sun,Sining Sun,https://orcid.org/0000-0002-6527-899X
A5018220112,Marvin Fox,M. Fox; Marvin Fox,
A5021594892,Gregory J. Hoeprich,Gregory J. Hoeprich; Gregory Hoeprich,
A5039995210,David L. Toppen,D. L. TOPPEN; David Toppen; David L. Toppen,
A5046661602,Joseph Nasser,Joseph Nasser,https://orcid.org/0000-0001-5941-5751
A5051425409,Hannah Yevick,H. G. Yevick; Hannah Yevick; Hannah G. Yevick,
A5054572950,Arkady B. Rovinsky,A. B. Rovinsky; A.B Rovinsky; A. Rovinsky; Arkady B. Rovinsky; Arkady Rovinsky,
A5057131076,Ira Konigsberg,Ira Konigsberg; I Konigsberg,
A5057980506,F. Derue,F. Derue,
A5059249026,Ludmila Kolmakova-Partensky,Ludmila Kolmakova‐Partensky; L. Kolmakova‐Partensky,
A5066403905,Aaron Y. Zelin,Aaron Zelin; Aaron Y. Zelin,https://orcid.org/0009-0002-6130-0229
A5070124533,Bogdan Stoica,Bogdan Stoica,
A5074041928,David Agee Horr,David Horr; David Agee Horr,
A5075168629,Iman Abdelmoty,I. Abdelmoty; Iman Abdelmoty,
A5083091910,Jenny L. Small,Jenny L. Small,https://orcid.org/0000-0001-7105-2252
A5100969947,Yigao Feng,Yigao Feng; Yi‐Gao Feng; Feng Yigao,
A5112132864,Marjorie E. Winkler,M E Winkler; Marjorie E. Winkler; Marjorie Winkler,
A5112730900,Avigdor Levy,Avigdor Levy; A. M. LEVY,
A5004308395,Anne P. Carter,Anne P. Carter,
A5009009745,Lingfa Yang,Yang Lingfa; Lingfa Yang; Ling‐fa Yang,
A5010568048,Charles B. McClendon,Charles B. McClendon; Charles McClendon,
A5025062804,Anne Goodwyn Jones,Anne Goodwyn Jones; Anne G. Jones; Anne Jones,
A5033915638,Dylan Cashman,Dylan Cashman,https://orcid.org/0000-0003-4853-5701
A5039773597,Thomas Barnet-Lamb,Thomas James Barnet‐Lamb; Thomas Barnet‐Lamb,
A5044428306,Sarita Bhalotra,Sarita M. Bhalotra; Sarita Bhalotra,
A5047421648,A. Stubbins,AP Stubbins; A. Stubbins,
A5051486235,Robert W. Ressler,Robert Ressler; Robert W. Ressler; Robert Wayne Ressler,https://orcid.org/0000-0002-6265-2528
A5055358317,Donna Dodson,D F Dodson; Donna Dodson; Donna F. Dodson,
A5057117917,Edwin Burr Pettet,Edwin Burr Pettet,
A5058858021,Amber Stubbs,Amber C. Stubbs; A. Stubbs; Amber Stubbs,
A5065282229,Elanah Uretsky,Elanah Uretsky; E. Uretsky,https://orcid.org/0000-0002-9842-6338
A5078041688,J. Sebastian Temme,J. S. Temme; Sebastian S. Temme; Sebastian Temme; J. Sebastian Temme,https://orcid.org/0000-0001-8306-2810
A5090633795,Kosuke Nakamoto,Kosuke Nakamoto; K Nakamoto,https://orcid.org/0000-0001-7813-6555
A5090874438,Suresh Kumar Gorla,Suresh Kumar Gorla; S.K Gorla; Suresh Gorla; S.K. Gorla,
A5107875681,S. De Castro,S. De Castro,
A5107884904,P. Farthouat,P. Farthouat,
A5107905135,C. Blocker,C. Blocker,
A5112682137,Lois Isenman,Lois Isenman; Lois D. Isenman; L. Isenman; L.D. Isenman,
A5004850311,Barbara J. Youngberg,Barbara J. Youngberg; B. Youngberg; Barbara Youngberg,
A5009057916,Andrew Molinsky,Andrew Laurence Molinsky; Andrew Molinsky; Andy Molinsky; Andrew L. Molinsky,https://orcid.org/0000-0002-4080-0593
A5025180981,Aida Yuen Wong,Aida Yuen Wong; Aida Y. Wong; Aida‐Yuen Wong,https://orcid.org/0000-0002-3052-752X
A5031477058,Laura Jockusch,Laura Jockusch; L. Jockusch,
A5041374304,Janet Krasner Aronson,J Aronson; Aronson; Aronson Janet Krasner; Janet Aronson; Janet Krasner Aronson,https://orcid.org/0000-0001-9579-818X
A5044205870,Heath I. Balcer,Heath Balcer; H. I. Balcer; H. Balcer; Heath I. Balcer,https://orcid.org/0000-0002-2745-4569
A5051897553,Rabia Anjum,R Anjum; Rashida Anjum; Rabia Anjum,https://orcid.org/0000-0003-3066-8039
A5060262711,Maurizio Vannicelli,Maurizio Vannicelli,
A5072418662,Rajan A. Sonik,Rajan A. Sonik; Rajan Sonik; Rajan Anthony Sonik,https://orcid.org/0000-0002-3353-1938
A5077550928,Tania Shane,Tania Shane; T. Jensen Shane; T. Shane,
A5078695029,Theo Douvropoulos,Theodosios Douvropoulos; Theo Douvropoulos; Theo,https://orcid.org/0000-0001-5553-6759
A5088766717,Elizabeth Tighe,Elizabeth Tighe; Elizabeth M. Tighe,https://orcid.org/0000-0002-3455-607X
A5100739510,David Liu,David Liu,https://orcid.org/0000-0002-2129-447X
A5101839669,Ian Hunter,I. Hunter; Ian W. Hunter; I.W. Hunter; Ian Hunter,https://orcid.org/0000-0002-7730-6628
A5105784260,Y. Morita,Y. Morita,
A5110045261,Daniel Dagan,Daniel Dagan,
A5112744465,D.D. Beck,D. Beck; D BECK; D. D. Beck; Deborah Beck,
A5000805974,Kate Moran,Kate. Acteur Moran; Kate A. Moran; Kate Moran,
A5001997519,Joseph G. Cunningham,Joseph Cunningham; Joseph G. Cunningham,
A5003954120,Shlesha Richhariya,Shlesha Richhariya; S. Richhariya,https://orcid.org/0000-0002-9311-110X
A5005255956,S. Giagu,S. Giagu,
A5013914996,Gerard Rinkus,Gerard J. Rinkus; G.J. Rinkus; Gerard Rinkus; Rod Rinkus; Rinkus Gerard,https://orcid.org/0000-0003-1725-910X
A5017346175,Laurence Simon,Laurence R. Simon; Laurence Simon,
A5017937226,Herbert H. Aptekar,H. Aptekar; Herbert H. Aptekar; Herbert Aptekar,
A5037924328,E Szentkirályi,E. M. Szentkiralyi; Eva M. Szentkiralyi; E Szentkiralyi; E.M. Szentkirályi; E. Szentkirályi; Eva Szentkiralyi; Eva M. Szentkirályi,
A5048362734,Charles A. Ziegler,Charles Alan Ziegler; Charles A. Ziegler; Charles Ziegler,
A5065500885,Rohit Rana,Rohit Rana; Rohit Kumar Rana,https://orcid.org/0000-0002-6582-8947
A5067291774,Marián Haburčák,M. Haburcak; Marian Haburcak; M. Haburčák; Marian Haburcák; M. Haburćák; Marián Haburčák; M Haburcák,https://orcid.org/0000-0003-0662-0756
A5069348402,Melissa S. Kosinski‐Collins,M. Kosinski‐Collins; Melissa Kosinski‐Collins; M.S. Kosinski–Collins; M. Kosinski–Collins; Melissa Sue Kosinski‐Collins; Melissa S. Kosinski‐Collins,https://orcid.org/0000-0003-4459-7163
A5069493667,Motti Golani,Motti Golani; M. Golani,
A5070127120,I. Tzvi Abusch,I. Tzvi Abusch,
A5070147761,Jennifer N. Gutsell,Jennifer Nadine Gutsell; Jennifer N. Gutsell; Jennifer Gutsell,https://orcid.org/0000-0002-5158-1218
A5072050512,Farzaneh Mohajerani,Farzaneh Mohajerani,https://orcid.org/0000-0002-9340-3305
A5079512655,Casey Ritchie Clevenger,Casey Clevenger; Casey Ritchie Clevenger,https://orcid.org/0000-0003-0762-1494
