Funder_display_name,funder_code
Air Force Office of Scientific Research,41___UNITED_STATES_AIR_FORCE_OFFICE_OF_SCIENTIFIC_RESEARCH_(ARLINGTON)
National Institute of Diabetes and Digestive and Kidney Diseases,41___NATIONAL_INSTITUTE_OF_DIABETES_AND_DIGESTIVE_AND_KIDNEY_DISEASES_(BETHESDA)
National Institute of Neurological Disorders and Stroke,41___NATIONAL_INSTITUTE_OF_NEUROLOGICAL_DISORDERS_AND_STROKE_(BETHESDA)
National Heart Foundation of New Zealand,41___NATIONAL_HEART_FOUNDATION_OF_NEW_ZEALAND_(AUCKLAND)
Bill and Melinda Gates Foundation,BMGF
"Global Fund to Fight AIDS, Tuberculosis and Malaria","41___GLOBAL_FUND_TO_FIGHT_AIDS,_TUBERCULOSIS_AND_MALARIA_(LE_GRAND-SACONNEX)"
National Eye Institute,41___NATIONAL_EYE_INSTITUTE_(BETHESDA)
National Institutes of Health,41___FOUNDATION_FOR_THE_NATIONAL_INSTITUTES_OF_HEALTH_(BETHESDA)
National Institute on Aging,41___NATIONAL_INSTITUTE_ON_AGING_(BALTIMORE)
CERN,CERN
Compute Canada,41___COMPUTE_CANADA_(TORONTO)
European Cooperation in Science and Technology,41___EUROPEAN_COOPERATION_IN_SCIENCE_AND_TECHNOLOGY_(BRUSSELS)
German-Israeli Foundation for Scientific Research and Development,41___GERMAN-ISRAELI_FOUNDATION_FOR_SCIENTIFIC_RESEARCH_AND_DEVELOPMENT_(JERUSALEM)
Canada Research Chairs,41___CANADA_RESEARCH_CHAIRS_(OTTAWA)
G�ran Gustafssons Stiftelse f�r Naturvetenskaplig och Medicinsk Forskning,GGSNMF
"Nella and Leon Benoziyo Center for Neurological Diseases, Weizmann Institute of Science",NLBCNWIS
"Ministry of Science and Technology, Taiwan",MSTT
Ministerio de Ciencia e Innovaci�n,MCI
Simons Foundation,41___SIMONS_FOUNDATION_(NEW_YORK)
John Templeton Foundation,41___JOHN_TEMPLETON_FOUNDATION_(WEST_CONSHOHOCKEN)
Wellcome Trust,41___WELLCOME_TRUST_(LONDON)
Division of Chemistry,01ar8dr59
"Ministerstvo Školství, Mládeže a Tělovýchovy",037n8p820
Grantová Agentura České Republiky,01pv73b02
"Ministero dell’Istruzione, dell’Università e della Ricerca",0341vw408
Blue Cross Blue Shield of Massachusetts Foundation,00bgchx11
National Center for Advancing Translational Sciences,04pw6fb54
National Research Foundation of Korea,013aysd81
European Research Council,0472cxd90
Division of Materials Research,01pc7k308
Division of Computing and Communication Foundations,01mng8331
"Division of Electrical, Communications and Cyber Systems",01krpsy48
Ministry of Sports and Education,04ydcpm48
Brandeis University,05abbep66
